,Unnamed: 0,French,English
0,0,partie,part
1,1,seulement,only
2,2,police,police
3,3,aide,help
4,4,genre,kind
5,5,mois,month
6,6,laisser,let
7,7,car,because
8,8,aucun,no
9,9,laisse,leash
10,11,chaque,each
11,12,parlé,speak
12,14,heures,hours
13,15,vont,will
14,16,pendant,while
15,17,revoir,meet again
16,18,aucune,any
17,19,place,square
18,20,compris,understood
19,21,étaient,were
20,22,attention,Warning
21,23,voici,here is
22,24,pourrais,could
23,25,affaire,case
24,26,donner,give
25,28,donné,given
26,29,endroit,place
27,30,façon,way
28,31,écoute,listen
29,32,trouve,find
30,33,premier,first
31,34,perdu,lost
32,35,main,hand
33,37,tiens,here
34,38,matin,morning
35,39,tellement,so much
36,40,enfant,child
37,41,point,point
38,42,suite,after
39,43,pardon,sorry
40,44,venez,come
41,45,devant,in front of
42,46,minutes,minutes
43,47,demandé,request
44,48,chambre,bedroom
45,49,belle,beautiful
46,50,droit,law
47,51,aimerais,would like to
48,52,aujourd'hui,today
49,53,mari,husband
50,54,cause,cause
51,55,espère,hope
52,56,eau,water
53,57,nouvelle,new
54,58,arrêter,Stop
55,59,dirait,would say
56,60,terre,Earth
57,61,donne,given
58,62,loin,far
59,63,croire,believe
60,64,chérie,sweetheart
61,65,gros,large
62,66,plutôt,rather
63,67,aura,will have
64,68,filles,girls
65,69,jouer,to play
